,site,value,variable,quality,dateC
364,3154,10.3,PMTEOM,0.0,2020-01-16 04:00:00
365,3154,13.0,PMTEOM,0.0,2020-01-16 05:00:00
366,3154,15.2,PMTEOM,0.0,2020-01-16 06:00:00
367,3154,15.3,PMTEOM,0.0,2020-01-16 07:00:00
368,3154,17.4,PMTEOM,0.0,2020-01-16 08:00:00
369,3154,17.1,PMTEOM,0.0,2020-01-16 09:00:00
370,3154,17.5,PMTEOM,0.0,2020-01-16 10:00:00
371,3154,90.5,PMTEOM,0.0,2020-01-16 11:00:00
372,3154,122.7,PMTEOM,0.0,2020-01-16 12:00:00
373,3154,98.3,PMTEOM,0.0,2020-01-16 13:00:00
374,3154,58.7,PMTEOM,0.0,2020-01-16 14:00:00
375,3154,298.1,PMTEOM,0.0,2020-01-16 15:00:00
376,3154,172.7,PMTEOM,0.0,2020-01-16 16:00:00
377,3154,199.0,PMTEOM,0.0,2020-01-16 18:00:00
378,3154,59.8,PMTEOM,0.0,2020-01-16 19:00:00
379,3154,13.0,PMTEOM,0.0,2020-01-16 20:00:00
380,3154,3.5,PMTEOM,0.0,2020-01-16 21:00:00
381,3154,1.4,PMTEOM,0.0,2020-01-16 22:00:00
382,3154,4.3,PMTEOM,0.0,2020-01-16 23:00:00
383,3154,5.0,PMTEOM,0.0,2020-01-17 00:00:00
384,3154,5.6,PMTEOM,0.0,2020-01-17 01:00:00
385,3154,5.2,PMTEOM,0.0,2020-01-17 02:00:00
386,3154,3.7,PMTEOM,0.0,2020-01-17 03:00:00
387,3154,5.8,PMTEOM,0.0,2020-01-17 04:00:00
388,3154,5.4,PMTEOM,0.0,2020-01-17 05:00:00
389,3154,6.7,PMTEOM,0.0,2020-01-17 06:00:00
390,3154,11.7,PMTEOM,0.0,2020-01-17 07:00:00
391,3154,7.4,PMTEOM,0.0,2020-01-17 08:00:00
392,3154,5.4,PMTEOM,0.0,2020-01-17 09:00:00
393,3154,5.8,PMTEOM,0.0,2020-01-17 10:00:00
394,3154,5.3,PMTEOM,0.0,2020-01-17 11:00:00
395,3154,2.4,PMTEOM,0.0,2020-01-17 12:00:00
396,3154,5.9,PMTEOM,0.0,2020-01-17 13:00:00
397,3154,6.7,PMTEOM,0.0,2020-01-17 14:00:00
398,3154,4.4,PMTEOM,0.0,2020-01-17 15:00:00
399,3154,8.3,PMTEOM,0.0,2020-01-17 16:00:00
400,3154,26.0,PMTEOM,0.0,2020-01-17 17:00:00
401,3154,8.8,PMTEOM,0.0,2020-01-17 18:00:00
402,3154,5.4,PMTEOM,0.0,2020-01-17 19:00:00
403,3154,7.9,PMTEOM,0.0,2020-01-17 20:00:00
404,3154,11.5,PMTEOM,0.0,2020-01-17 21:00:00
405,3154,7.6,PMTEOM,0.0,2020-01-17 22:00:00
406,3154,5.3,PMTEOM,0.0,2020-01-17 23:00:00
407,3154,6.9,PMTEOM,0.0,2020-01-18 00:00:00
408,3154,5.7,PMTEOM,0.0,2020-01-18 01:00:00
409,3154,6.8,PMTEOM,0.0,2020-01-18 02:00:00
410,3154,5.9,PMTEOM,0.0,2020-01-18 03:00:00
411,3154,7.0,PMTEOM,0.0,2020-01-18 04:00:00
412,3154,6.6,PMTEOM,0.0,2020-01-18 05:00:00
413,3154,6.9,PMTEOM,0.0,2020-01-18 06:00:00
414,3154,7.6,PMTEOM,0.0,2020-01-18 07:00:00
415,3154,8.0,PMTEOM,0.0,2020-01-18 08:00:00
416,3154,8.9,PMTEOM,0.0,2020-01-18 09:00:00
417,3154,8.1,PMTEOM,0.0,2020-01-18 10:00:00
418,3154,6.2,PMTEOM,0.0,2020-01-18 11:00:00
419,3154,5.7,PMTEOM,0.0,2020-01-18 12:00:00
420,3154,6.0,PMTEOM,0.0,2020-01-18 13:00:00
